🔭 Listening for ESP32S2 Debug/Info messages on 10.10.5.93 port 4210...

[03:37:37 - 192.168.137.91] [DCSBIOS] Aircraft Name:
[03:37:42 - 192.168.137.91] [DCSBIOS] Aircraft Name:
[03:37:47 - 192.168.137.91] [DCSBIOS] Aircraft Name:
[03:37:52 - 192.168.137.91] [DCSBIOS] Aircraft Name:
[03:37:57 - 192.168.137.91] [DCSBIOS] Aircraft Name:
[03:38:02 - 192.168.137.91] [DCSBIOS] Aircraft Name:
[03:38:07 - 192.168.137.91] [DCSBIOS] Aircraft Name:
[03:38:12 - 192.168.137.91] [DCSBIOS] Aircraft Name:
[03:38:17 - 192.168.137.91] [DCSBIOS] Aircraft Name:
[03:38:22 - 192.168.137.91] [DCSBIOS] Aircraft Name:
[03:38:27 - 192.168.137.91] [DCSBIOS] Aircraft Name:
[03:38:32 - 192.168.137.91] [DCSBIOS] Aircraft Name:
[03:38:37 - 192.168.137.91] [DCSBIOS] Aircraft Name:
[03:40:57 - 192.168.137.91] [DCSBIOS] Aircraft Name:
[03:41:00 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:41:02 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:41:07 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:41:12 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:41:17 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:41:22 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:41:27 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:41:32 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:41:37 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:41:42 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:41:47 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:41:52 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:41:57 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:42:02 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:42:07 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:42:08 - 192.168.137.91] [DCSBIOS] Aircraft Name:
[03:42:10 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:42:12 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:42:17 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:42:22 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:42:27 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:42:32 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:42:37 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:42:42 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:42:47 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:42:52 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:42:57 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:43:02 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:43:07 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:43:12 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:43:17 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:43:18 - 192.168.137.91] [DCSBIOS] Aircraft Name:
[03:43:21 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:43:22 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:43:27 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:43:32 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:43:37 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:43:42 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:43:47 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:43:52 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:43:57 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:44:02 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:44:07 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:44:12 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:44:17 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:44:22 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:44:27 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:44:32 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:44:37 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:44:42 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:44:47 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:44:52 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:44:57 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:45:02 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:45:07 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:45:12 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:45:17 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:45:22 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:45:27 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:45:32 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:45:37 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:45:42 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:45:47 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:45:52 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:45:57 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:46:02 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:46:07 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:46:12 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:46:17 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:46:22 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:46:27 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:46:32 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:46:37 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:46:42 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:46:47 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:46:52 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:46:57 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:47:02 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:47:07 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:47:12 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:47:17 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:47:22 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:47:27 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:47:32 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:47:37 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:47:42 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:47:47 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:47:52 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:47:57 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:48:02 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:48:07 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:48:12 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:48:17 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:48:22 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:48:27 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:48:32 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:48:37 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:48:42 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:48:47 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:48:52 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:48:57 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:49:02 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:49:07 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:49:12 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:49:17 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:49:22 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:49:27 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:49:32 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:49:37 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:49:42 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:49:47 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:49:52 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:53:36 - 192.168.137.91] ❌ USB Stopped
[03:53:36 - 192.168.137.91] 🔌 USB Started
[03:53:36 - 192.168.137.91] [HID EVENT] SET_IDLE: Interface 0 → no periodic reports required
[03:53:36 - 192.168.137.91] Connected to WiFi network MyHotspotNetwork with IP 192.168.137.91
[03:53:36 - 192.168.137.91] =================== [STARTING DEVICE] ===================
[03:53:36 - 192.168.137.91] SRAM free:    208 KB, largest:    143 KB, frag:  30.9%
[03:53:36 - 192.168.137.91] PSRAM free:   2028 KB, largest:   2015 KB, frag:   0.6%
[03:53:36 - 192.168.137.91] I²C Initialized using the ESP-IDF Library (Fast mode)
[03:53:36 - 192.168.137.91] Using SDA 7 and SCL 13 for I2C
[03:53:37 - 192.168.137.91] No I2C devices found.
[03:53:37 - 192.168.137.91] Initializing Displays
[03:53:37 - 192.168.137.91] Initializing LEDs
[03:53:37 - 192.168.137.91] ✅ Lock/Shoot detected, initializing...
[03:53:37 - 192.168.137.91] ✅ Caution Advisory detected, initializing...
[03:53:37 - 192.168.137.91] ✅ Left & Right Annunciators detected, initializing...
[03:53:38 - 192.168.137.91] 🔆 Turning ALL LEDs ON (simultaneously)
[03:53:39 - 192.168.137.91] ⚫ Turning ALL LEDs OFF (simultaneously)
[03:53:40 - 192.168.137.91] ⚫ WS2812 All OFF
[03:53:40 - 192.168.137.91] 🔆 Turning ALL GPIO LEDs ON
[03:53:41 - 192.168.137.91] ⚫ Turning ALL GPIO LEDs OFF
[03:53:41 - 192.168.137.91] Syncronizing Panel state....
[03:53:41 - 192.168.137.91] ✅ RIGHT Annunciator initialized for buttons
[03:53:41 - 192.168.137.91] ✅ LEFT Annunciator initialized for buttons
[03:53:41 - 192.168.137.91] ❌ Could not initialize IR Cool Panel
[03:53:41 - 192.168.137.91] ❌ [HID] No stream active yet or Tx buffer full
[03:53:41 - 192.168.137.91] Selected mode: HID
[03:53:41 - 192.168.137.91] Device "Main Instruments" is ready
[03:53:41 - 192.168.137.91] ATTENTION: USB mode ENABLED. Run CockpitOS_HID_Controller.py on the computer where your devices are connected.
[03:53:41 - 192.168.137.91] 🛩️ [HID] Axis(3) HMD_OFF_BRT = 6248 [INITIAL]
[03:53:41 - 192.168.137.91] 🛩️ [HID] Axis(3) HMD_OFF_BRT = 5184
[03:54:31 - 192.168.137.91] 🛩️ [HID] Axis(3) HMD_OFF_BRT = 7048
[03:54:31 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (8ms < 33ms)
[03:54:31 - 192.168.137.91] 🛩️ [HID] Axis(3) HMD_OFF_BRT = 7352
[03:54:31 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (20ms < 33ms)
[03:54:31 - 192.168.137.91] 🛩️ [HID] Axis(3) HMD_OFF_BRT = 7408
[03:54:31 - 192.168.137.91] 🛩️ [HID] Axis(3) HMD_OFF_BRT = 9953
[03:54:31 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (4ms < 33ms)
[03:54:31 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (8ms < 33ms)
[03:54:31 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (12ms < 33ms)
[03:54:31 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (16ms < 33ms)
[03:54:31 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (20ms < 33ms)
[03:54:31 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (32ms < 33ms)
[03:54:31 - 192.168.137.91] 🛩️ [HID] Axis(3) HMD_OFF_BRT = 17065
[03:54:31 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (4ms < 33ms)
[03:54:31 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (8ms < 33ms)
[03:54:31 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (12ms < 33ms)
[03:54:31 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (20ms < 33ms)
[03:54:31 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (28ms < 33ms)
[03:54:31 - 192.168.137.91] 🛩️ [HID] Axis(3) HMD_OFF_BRT = 8856
[03:54:31 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (12ms < 33ms)
[03:54:31 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (32ms < 33ms)
[03:54:31 - 192.168.137.91] 🛩️ [HID] Axis(3) HMD_OFF_BRT = 5520
[03:54:34 - 192.168.137.91] 🛩️ [HID] Axis(3) HMD_OFF_BRT = 6744
[03:54:34 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (12ms < 33ms)
[03:54:34 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (16ms < 33ms)
[03:54:34 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (20ms < 33ms)
[03:54:34 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (24ms < 33ms)
[03:54:34 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (28ms < 33ms)
[03:54:34 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (32ms < 33ms)
[03:54:34 - 192.168.137.91] 🛩️ [HID] Axis(3) HMD_OFF_BRT = 30211
[03:54:34 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (4ms < 33ms)
[03:54:34 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (8ms < 33ms)
[03:54:34 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (12ms < 33ms)
[03:54:34 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (16ms < 33ms)
[03:54:34 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (20ms < 33ms)
[03:54:34 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (24ms < 33ms)
[03:54:34 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (32ms < 33ms)
[03:54:34 - 192.168.137.91] 🛩️ [HID] Axis(3) HMD_OFF_BRT = 42732
[03:54:34 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (8ms < 33ms)
[03:54:34 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (20ms < 33ms)
[03:54:34 - 192.168.137.91] 🛩️ [HID] Axis(3) HMD_OFF_BRT = 46388
[03:54:34 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (24ms < 33ms)
[03:54:34 - 192.168.137.91] 🛩️ [HID] Axis(3) HMD_OFF_BRT = 48629
[03:54:34 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (32ms < 33ms)
[03:54:34 - 192.168.137.91] 🛩️ [HID] Axis(3) HMD_OFF_BRT = 50813
[03:54:34 - 192.168.137.91] 🛩️ [HID] Axis(3) HMD_OFF_BRT = 51957
[03:54:34 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (32ms < 33ms)
[03:54:34 - 192.168.137.91] 🛩️ [HID] Axis(3) HMD_OFF_BRT = 51949
[03:54:34 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (12ms < 33ms)
[03:54:34 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (16ms < 33ms)
[03:54:34 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (28ms < 33ms)
[03:54:34 - 192.168.137.91] 🛩️ [HID] Axis(3) HMD_OFF_BRT = 51645
[03:54:34 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (8ms < 33ms)
[03:54:35 - 192.168.137.91] 🛩️ [HID] Axis(3) HMD_OFF_BRT = 54357
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (8ms < 33ms)
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (16ms < 33ms)
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (24ms < 33ms)
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (32ms < 33ms)
[03:54:35 - 192.168.137.91] 🛩️ [HID] Axis(3) HMD_OFF_BRT = 53573
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (12ms < 33ms)
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (16ms < 33ms)
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (28ms < 33ms)
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (32ms < 33ms)
[03:54:35 - 192.168.137.91] 🛩️ [HID] Axis(3) HMD_OFF_BRT = 54541
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (8ms < 33ms)
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (16ms < 33ms)
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (24ms < 33ms)
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (32ms < 33ms)
[03:54:35 - 192.168.137.91] 🛩️ [HID] Axis(3) HMD_OFF_BRT = 53949
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (8ms < 33ms)
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (16ms < 33ms)
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (20ms < 33ms)
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (24ms < 33ms)
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (32ms < 33ms)
[03:54:35 - 192.168.137.91] 🛩️ [HID] Axis(3) HMD_OFF_BRT = 50837
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (4ms < 33ms)
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (8ms < 33ms)
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (12ms < 33ms)
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (16ms < 33ms)
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (20ms < 33ms)
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (24ms < 33ms)
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (32ms < 33ms)
[03:54:35 - 192.168.137.91] 🛩️ [HID] Axis(3) HMD_OFF_BRT = 51677
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (4ms < 33ms)
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (12ms < 33ms)
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (20ms < 33ms)
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (28ms < 33ms)
[03:54:35 - 192.168.137.91] 🛩️ [HID] Axis(3) HMD_OFF_BRT = 53157
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (4ms < 33ms)
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (8ms < 33ms)
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (12ms < 33ms)
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (16ms < 33ms)
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (20ms < 33ms)
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (24ms < 33ms)
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (28ms < 33ms)
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (32ms < 33ms)
[03:54:35 - 192.168.137.91] 🛩️ [HID] Axis(3) HMD_OFF_BRT = 49405
[03:54:35 - 192.168.137.91] [DCS] ⚠️ SKIP: HMD_OFF_BRT rate limited (4ms < 33ms)
